GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TwitterApp,com,App,57,0,0,0,19,0,5,0,5,0
TwitterApp,resources,TweetUtility,0,47,0,2,0,13,0,4,0,3
